MLP (Masked)_FPR,MLP (Masked)_TPR,Univariate (ANOVA)_FPR,Univariate (ANOVA)_TPR,Lasso (L1)_FPR,Lasso (L1)_TPR,Random Forest_FPR,Random Forest_TPR,SVM_FPR,SVM_TPR,XGBoost_FPR,XGBoost_TPR,Univariate (ANOVA)_FPR,Univariate (ANOVA)_TPR,Lasso (L1)_FPR,Lasso (L1)_TPR,Random Forest_FPR,Random Forest_TPR,SVM_FPR,SVM_TPR,XGBoost_FPR,XGBoost_TPR
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.038461538461538464,0.0,0.038461538461538464,0.0,0.038461538461538464,0.0,0.038461538461538464,0.0,0.038461538461538464,0.0,0.038461538461538464,0.0,0.038461538461538464,0.0,0.038461538461538464,0.0,0.038461538461538464,0.0,0.038461538461538464,0.0,0.038461538461538464
0.0,0.8846153846153846,0.0,1.0,0.0,1.0,0.0,0.15384615384615385,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.15384615384615385,0.0,1.0,0.0,1.0
0.4583333333333333,0.8846153846153846,1.0,1.0,1.0,1.0,0.0,0.3076923076923077,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3076923076923077,1.0,1.0,1.0,1.0
0.4583333333333333,0.9230769230769231,,,,,0.0,0.34615384615384615,,,,,,,,,0.0,0.34615384615384615,,,,
0.5,0.9230769230769231,,,,,0.0,0.5,,,,,,,,,0.0,0.5,,,,
0.5,0.9615384615384616,,,,,0.0,0.6153846153846154,,,,,,,,,0.0,0.6153846153846154,,,,
0.6666666666666666,0.9615384615384616,,,,,0.0,0.6923076923076923,,,,,,,,,0.0,0.6923076923076923,,,,
0.6666666666666666,1.0,,,,,0.0,0.9230769230769231,,,,,,,,,0.0,0.9230769230769231,,,,
1.0,1.0,,,,,0.041666666666666664,0.9230769230769231,,,,,,,,,0.041666666666666664,0.9230769230769231,,,,
,,,,,,0.041666666666666664,1.0,,,,,,,,,0.041666666666666664,1.0,,,,
,,,,,,0.08333333333333333,1.0,,,,,,,,,0.08333333333333333,1.0,,,,
,,,,,,0.20833333333333334,1.0,,,,,,,,,0.20833333333333334,1.0,,,,
,,,,,,0.2916666666666667,1.0,,,,,,,,,0.2916666666666667,1.0,,,,
,,,,,,0.375,1.0,,,,,,,,,0.375,1.0,,,,
,,,,,,0.75,1.0,,,,,,,,,0.75,1.0,,,,
,,,,,,0.8333333333333334,1.0,,,,,,,,,0.8333333333333334,1.0,,,,
,,,,,,0.875,1.0,,,,,,,,,0.875,1.0,,,,
,,,,,,0.9583333333333334,1.0,,,,,,,,,0.9583333333333334,1.0,,,,
,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,,,,
